id,question
50487,##Introduction to Log Graphs  #28842 
50488,5  Sketching Log Graphs with Transformations  Ex3
50489,4  Sketching Log Graphs with Transformations Ex2
50490,3  Sketching Log Graphs with Transformations Ex1
50491,2  Transformation of Log Graphs
51098,Why can `$\log_3(-9)$` not be evaluated?
51100,Write the equation of the inverse of each exponential function below in logarithmic form.  `$ \displaystyle \begin{array}{llllll} &(a) & f(x) = 3^x    &(c) & f(x) = (\frac{1}{4})^x\\ &&&&\\ &(c) & f(x) = 10^x    &(d) & f(x) = m^x\\ \end{array} $`
51107,Evaluate each of the following:  `$ \displaystyle \log_3\sqrt{3} $`
51111,Evaluate each of the following:  `$ \displaystyle \log_327 $`
51112,Evaluate each of the following:  `$ \displaystyle \log_24 $`
51280,The following function is a transformation of `$f(x)=\log_{10}x$`. Which transformation that must be applied to `$f(x)$` to graph `$g(x)$`? Show your work.  `$g(x)=\log_{10}(x+4)$`
51281,Sketch the graph of `$\displaystyle{f(x)=\frac{-2}{\log_2(x+2)}}$`.      
51282,State the transformations that are needed to turn `$y=4\log_{10}(x-4)$` into `$y=-2\log_{10}(x+1)$`.  
51284,Compare the functions `$\displaystyle f(x)=10^{(\frac{x}{3})}+1$` and `$g(x)=3\log_{10}(x-1)$`.
51285,Sketch the graph of each function using transformations. State the domain and range and transformation mapping.   `$r(x)=\log_{10}(-2x-4)$` 
51286,Sketch the graph of each function using transformations. State the domain and range and transformation mapping.    `$\displaystyle{k(x)=4\log_{10}\left(\frac{1}{6}x\right)-2}$` 
51287,Sketch the graph of each function using transformations. State the domain and range and transformation mapping.   `$j(x)=\log_{10}0.5x-1$` 
51288,Sketch the graph of each function using transformations. State the domain and range and transformation mapping.   `$h(x)=\log_{10}(2x)$`  
51289,Sketch the graph and state the domain and range.   * `$g(x)=-\log_{10}(x-6)$` 
51290,Sketch the graph of each function using transformations. State the domain and range and transformation mapping.  `$f(x)=3\log_{10}x+3$` 
51291,"Let `$f(x)=\log_{10}x$`. For each function `$g(x)$`  **(a)** State the transformations that must be applied to `$f$` to produce the graph of `$g$`.  **(b)** State the coordinates of the points on `$g$` that are images of the points `$(1,0)$` and `$(10,1)$` on the graph of `$f$`.  **(c)** State the equation of the asymptote.  **(d)** State the domain and range.  * `$g(x)=\log_{10}(-x-2)$`"
51292,"Let `$f(x)=\log_{10}x$`. For each function `$g(x)$`  **(a)** State the transformations that must be applied to `$f$` to produce the graph of `$g$`.  **(b)** State the coordinates of the points on `$g$` that are images of the points `$(1,0)$` and `$(10,1)$` on the graph of `$f$`.  **(c)** State the equation of the asymptote.  **(d)** State the domain and range.   * `$g(x)=\log_{10}(2x+4)$` "
51293,"Let `$f(x)=\log_{10}x$`. For each function `$g(x)$`  **(a)** State the transformations that must be applied to `$f$` to produce the graph of `$g$`.  **(b)** State the coordinates of the points on `$g$` that are images of the points `$(1,0)$` and `$(10,1)$` on the graph of `$f$`.  **(c)** State the equation of the asymptote.  **(d)** State the domain and range.  iv) `$g(x)=2\log_{10}[-2(x+2)]$` "
51294,"Let `$f(x)=\log_{10}x$`. For each function `$g(x)$`  **(a)** State the transformation mapping that needs to be applied to `$f$` to produce the graph of `$g$`.  **(b)** State the coordinates of the points on `$g$` that are images of the points `$(1,0)$` and `$(10,1)$` on the graph of `$f$`.  **(c)** State the equation of the asymptote.  **(d)** State the domain and range.   (`$g(x)=\log_{10}(3x)-4$` "
51295,"Let `$f(x)=\log_{10}x$`. For each function `$g(x)$`  **(a)** Write `$g(x)$` in terms of `$f(x)$`.    **(b)** Which coordinates of the points on `$g$` are images of the points `$(1,0)$` and `$(10,1)$` on the graph of `$f$`?  **(c)** What is the equation of the asymptote?  **(d)** What is the domain and range?  * `$\displaystyle{g(x)=\frac{1}{2}\log_{10}(x-6)+3}$` "
51296,"Let `$f(x)=\log_{10}x$`. For each function `$g(x)$`  **(a)** What transformations must be applied to `$f$` to produce the graph of `$g$`?  **(b)** Which coordinates of the points on `$g$` are images of the points `$(1,0)$` and `$(10,1)$` on the graph of `$f$`?  **(c)** What is the equation of the asymptote?  **(d)** What is the domain and range?  *i)* `$g(x)=-4\log_{10}x+5$` "
51297,"Given the parent function `$f(x)=\log_{10}x$`, which equation of the function results from each of the following pairs of transformations. Explain:  reflection in the `$x$`-axis, horizontal translation 4 units right  "
51298,"Given the parent function `$f(x)=\log_{10}x$`, which equation of the function results from each of the following pairs of transformations. Explain:  * horizontal translation 4 units left, vertical translation 3 units down "
51299,"Given the parent function `$f(x)=\log_{10}x$`, which equation of the function results from each of the following pairs of transformations. Explain:  reflection in the `$x$`-axis, horizontal compression by a factor of `$\displaystyle{\frac{1}{3}}$` "
51300,"Given the parent function `$f(x)=\log_{10}x$`, which equation of the function results from each of the following pairs of transformations. Explain:  * vertical stretch by a factor of 5, vertical translation 3 units up "
51301,"Which coordinates are the the images of the points `$\displaystyle{\left(\frac{1}{10},-1\right)}$`, `$(1,0)$`, and `$(10,1)$` for  the function   `$g(x)=\log_{10}(x+4)$` "
51302,"Which coordinates are the the images of the points `$\displaystyle{\left(\frac{1}{10},-1\right)}$`, `$(1,0)$`, and `$(10,1)$` for  the function   `$g(x)=\log_{10}x-5$`  "
51303,"Which coordinates are the the images of the points `$\displaystyle{\left(\frac{1}{10},-1\right)}$`, `$(1,0)$`, and `$(10,1)$` for  the functions in `$g(x)=\log_{10}(2x)$`  "
51304,"Which coordinates are the the images of the points `$\displaystyle{\left(\frac{1}{10},-1\right)}$`, `$(1,0)$`, and `$(10,1)$` for the function  `$g(x)=3\log_{10}x$`  "
51305,The following function is a transformation of `$f(x)=\log_{10}x$`. Which transformation must be applied to `$f(x)$` to graph `$g(x)$`. Show your work.  `$g(x)=\log_{10}x-5$` 
51306,The following function is a transformation of `$f(x)=\log_{10}x$`. Which transformation must be applied to `$f(x)$` to graph `$g(x)$`? Show your work.  `$g(x)=\log_{10}(2x)$` 
51307,The following function is a transformation of `$f(x)=\log_{10}x$`. Which transformations must be applied to `$f(x)$` to graph `$g(x)$`? Show your work.  `$g(x)=3\log_{10}x$` 
51308,Describe three characteristics of the function `$y=\log_{10}x$` that remain unchanged under the following transformations: a vertical stretch by a factor of 4 and a horizontal compression by a factor of 2.  
51309,"The function `$f(x)=\log_{10}x$` has the point `$(10,1)$` on its graph. If `$f(x)$`is vertically stretched by a factor of 3, reflected in the `$x$`-axis, horizontally stretched by a factor of 2, horizontally translated 5 units to the right, and vertically translated 2 units up, determine  a) the equation of the transformed function  b) the coordinates of the image point transformed from `$(10, 1)$`  c) the domain and range of the transformed function   "
51310,"Which description of the graphs of `$f(x)=\log_3x$`, `$g(x)=\log_3(x+4)$`, and `$h(x)=\log_3x+4$` are correct? Show your work. "
51413,Evaluate.     `$\displaystyle{4^{\log_4\frac{1}{16}}}$`   
51414,Use your knowledge of logarithms to solve each of the following equations for `$x$`.  `$\displaystyle{\log_{\frac{1}{4}}x=-2}$` 
51415,Evaluate.   `$\log_3\sqrt{27}$`
51416, Use your knowledge of logarithms to solve each of the following equations for `$x$`.  `$\displaystyle{\log_4\frac{1}{64}=x}$` 
51417,Evaluate.  `$\displaystyle{\log_2\frac{1}{4}-\log_31}$` 
51418,Evaluate.  `$\log_381+\log_464$`    
51419,Evaluate.  `$\log_5125-\log_525$` 
51420,"Solve for `$x$`. Round your answers to two decimal places, if necessary.   `$\log25=x$` "
51421,"Solve for `$x$`. Round your answers to two decimal places, if necessary.   `$\log1=x$` "
51422,"Solve for `$x$`. Round your answers to two decimal places, if necessary.  `$\displaystyle{\log\left(\frac{1}{10}\right)}$`   "
51423,Evaluate `$\log_216^{\frac{1}{3}}$`.
51426,Express in exponential form.   `$\displaystyle{\log_{\frac{1}{6}}216=-3}$` 
51427,Evaluate.    `$\log_5\sqrt[3]{5}$` 
51428,Evaluate.  `$\log_6\sqrt{6}$` 
51429,"Solve for `$x$`. Round your answers to two decimal places, if necessary.   `$\log x=-2$`  "
51430,"Solve for `$x$`. Round your answers to two decimal places, if necessary.   `$\log x=0.25$` "
51431,"Solve for `$x$`. Round your answers to two decimal places, if necessary.   `$\log(1 000 000)=x$` "
51435,Express in exponential form.   `$\displaystyle{\log_5\frac{1}{25}=-2}$`   
51441, Use your knowledge of logarithms to solve each of the following equations for `$x$`.   `$\displaystyle{\log_5x=\frac{1}{2}}$` 
51442, Use your knowledge of logarithms to solve each of the following equations for `$x$`.   `$\displaystyle{\log_x27=3}$` 
51443, Use your knowledge of logarithms to solve each of the following equations for `$x$`.  `$\displaystyle{\log_5x=3}$` 
51449, Express in logarithmic form.    `$8^0=1$` 
51451, Use your knowledge of logarithms to solve each of the following equations for `$x$`.  `$\displaystyle{\log_4x=1.5}$`  
51452,Determine the inverse of each relation.  `$y=3\log_2(x-3)+2$`
51453,Determine the inverse of each relation.  `$y=(0.5)^{x+2}$`
51454,Determine the inverse of each relation.  `$y=3(2)^x$`
51455,Determine the inverse of each relation.  * `$y=\sqrt[3]{x}$`
51456,Simplify.  * `$\displaystyle{5^{\log_58}-3^{\log_35+\log_37}}$`
51457,Simplify.  * `$\displaystyle{3^{\log_327}+10^{\log_{10}1000}}$`
51458,To evaluate a logarithm whose base is not 10 you can use the following relationship `$\displaystyle{\log_ab=\frac{\log b}{\log a}}$` Use this to evaluate each of the following to four decimal places.   `$\log_545$`
51459,To evaluate a logarithm whose base is not 10 you can use the following relationship `$\displaystyle{\log_ab=\frac{\log b}{\log a}}$` Use this to evaluate each of the following to four decimal places.   `$\log_210$`
51460,To evaluate a logarithm whose base is not 10 you can use the following relationship `$\displaystyle{\log_ab=\frac{\log b}{\log a}}$` Use this to evaluate each of the following to four decimal places.   `$\log_55$`
51461, Evaluate.    `$\displaystyle{\log_{\frac{1}{10}}1}$`       
51462, Evaluate.    `$\displaystyle{a^{\log_ab}}$`       
51463,Evaluate.     `$\displaystyle{5^{\log_525}}$` 
51465,Evaluate.    `$\displaystyle{\log_mm^n}$` 
51469,Consider the expression `$\log_5a$`.  * For what values of `$a$` will this expression be undefined?
51470,Consider the expression `$\log_5a$`.  * For what values of `$a$` will this expression yield negative numbers?
51471,Consider the expression `$\log_5a$`.  * For what values of `$a$` will this expression yield positive numbers?
51472,"Graph the function and its inverse. State the domain, range, and asymptote of each. Determine the equation of the inverse.  `$y=20(8)^x$`"
51473,"Graph the function and its inverse. State the domain, range, and asymptote of each. Determine the equation of the inverse.  `$y=2+3\log x$`"
51474,"Graph the function and its inverse. State the domain, range, and asymptote of each. Determine the equation of the inverse.  `$y=-2\log_53x$`"
51475,"Graph the function and its inverse. State the domain, range, and asymptote of each. Determine the equation of the inverse.  `$y=3\log(x+6)$`"
51478,"The number of mold spores in a petri dish increases by a factor of 10 every week. If there are initially 40 spores in the dish, how long will it take for there to be 2000 spores?    "
51479,The doubling function `$\displaystyle{y=y_02^{\frac{t}{D}}}$` can be used to model exponential growth when the doubling time is `$D$`. The bacterium `$Escherichia$` `$coli$` has a doubling period of 0.32 h. A culture of `$E.$` `$coli$` starts with 100 bacteria.  * How many hours will it take for there to be 450 bacteria in the culture? Explain your strategy. 
51480,The doubling function `$\displaystyle{y=y_02^{\frac{t}{D}}}$` can be used to model exponential growth when the doubling time is `$D$`. The bacterium `$Escherichia$` `$coli$` has a doubling period of 0.32 h. A culture of `$E.$` `$coli$` starts with 100 bacteria.  * Determine the equation of the inverse. What does this equation represent?
51481,The doubling function `$\displaystyle{y=y_02^{\frac{t}{D}}}$` can be used to model exponential growth when the doubling time is `$D$`. The bacterium `$Escherichia$` `$coli$` has a doubling period of 0.32 h. A culture of `$E.$` `$coli$` starts with 100 bacteria.  * Graph your equation. * Graph the inverse.
51482,"The doubling function `$\displaystyle{y=y_02^{\frac{t}{D}}}$` can be used to model exponential growth when the doubling time is `$D$`. The bacterium `$Escherichia$` `$coli$` has a doubling period of 0.32 h. A culture of `$E$`. `$coli$` starts with 100 bacteria.  * Determine the equation for the number of bacteria, `$y$`, in `$x$` hours.        "
51483,"The astronomer Johannes Kepler (1571~1630) determined that the time, `$D$`, in days, for a planet to revolve around the Sun is related to the planet's average distance from the Sun, `$k$`, in millions of kilometres. This relation is defined by the equation `$\displaystyle{\log D=\frac{3}{2}\log k-0.7}$` Verify that Kepler's equation gives a good approximation of the time it takes for Earth to revolve around the Sun, if Earth is about 150 000 000 km from the Sun."
51484,"The function `$S(d)=93\log d+65$` relates the speed of the wind, `$S$`, in miles per hour, near the centre of a tornado to the distance that the tornado travels, `$d$`, in miles.   * If a tornado has sustained winds of approximately 250 mph, estimate the distance it can travel."
51538,Write each expression as a single log.  `$ \displaystyle  3\log_{5}2 + \log_{5}7 $`
51541,Express each of the following as a logarithm of a product of quotient.  `$ \displaystyle \log_6 54  +\log_62 - \log_63 $`
51542,Express each of the following as a logarithm of a product of quotient.  `$ \displaystyle \log_{25}5^3 $`
51543,"Write `$y = \log_2(4x), y = \log_2(8x)$`, and `$y= \log_2(\frac{x}{2})$`  with respect to `$y  =\log_2x$`."
51544,Use the laws of logarithms to simplify and then evaluate each expression.  `$ \displaystyle \log_2224 - \log_27 $`
51546,Express each of the following as a logarithm of a product of quotient.  `$ \displaystyle  \log_410 + \log_412 - \log_420  $`
51547,Express each of the following as a logarithm of a product of quotient.  `$ \displaystyle \log_67 + \log_68 + \log_69 $`
51548,Write the expression as a sum of difference of logarithms.  `$ \displaystyle \log (\frac{123}{31})	 $`
51549,Write the expression as a sum of difference of logarithms.  `$ \displaystyle \log_{2}(14 \times 9) $`
51550,Write the expression as a sum of difference of logarithms.  `$ \displaystyle  \log(45 \times 68)  $`
51554,Use the laws of logarithms to express each side of the equation as a single logarithm.   Then compare both sides of the equation to solve.   `$ \displaystyle  \log_5x  - \log_58   = \log_56 + 3\log_52 $`
51555,Use the laws of logarithms to express each side of the equation as a single logarithm.   Then compare both sides of the equation to solve.   `$ \displaystyle \log_7x =  2 \log_7 25  - 3\log_7 5 $`
51556,Use the laws of logarithms to simplify and then evaluate each expression.  `$ \displaystyle  \log_44^7 $`
51557,Express each of the following in the form  `$r \log_ax$`.  `$ \displaystyle \log 5^2	 $`
51558,Express each of the following as a logarithm of a product of quotient.  `$ \displaystyle \log_67 + \log_68 + \log_69 $`
51559,Express each of the following in the form  `$r \log_ax$`.  `$ \displaystyle \log_37^{-1} $`
51561,Use the laws of logarithms to express each side of the equation as a single logarithm.   Then compare both sides of the equation to solve.   `$ \displaystyle  \log_3x   = 2 \log_3 10 - \log_325 $`
51562,Use the laws of logarithms to express each side of the equation as a single logarithm.   Then compare both sides of the equation to solve.   `$ \displaystyle  \log_4x + \log_412 = \log_448	 $`
