id,question
57473,"Evaluate each limit, if it exists.   `$ \displaystyle \lim_{x\to -4} \frac{3x^2 + 11x -4}{x^2 + 3x - 4} $` "
57474,"Evaluate each limit, if it exists.  `$ \displaystyle \lim_{x\to 3} \frac{2x^2-5x  -3}{x^2 -x - 6} $`"
57475,"Evaluate each limit, if it exists.  `$ \displaystyle \lim_{x\to -5} \frac{x^2 + 4x - 5}{25-x^2} $`"
57476,"Evaluate each limit, if it exists.  `$ \displaystyle \lim_{x\to 0} \frac{-2x}{x^2 -4x} $`"
57477,"Evaluate each limit, if it exists.  `$ \displaystyle \lim_{x\to -3}\frac{x^2- 9}{x + 3} $`"
57479,"Evaluate each limit, if it exists.  `$ \displaystyle \lim_{x\to -2} \frac{x^2 -4}{x + 2} $`"
57480,"Evaluate each limit, if it exists.  `$ \displaystyle \lim_{x\to 0} \frac{\sqrt{3 -x}- \sqrt{3 + x}}{x} $` "
57481,"Evaluate each limit, if it exists.  `$ \displaystyle \lim_{x\to 0} \frac{\sqrt{1 - x}  -1}{3x} $`"
57482,"Evaluate each limit, if it exists.  `$ \displaystyle \lim_{x\to 4}\frac{x-4}{\sqrt{x} -2} $`"
57483,"Evaluate each limit, if it exists.  `$ \displaystyle \lim_{x\to 25}\frac{5 -\sqrt{x}}{x - 25} $`"
57484,"Evaluate each limit, if it exists.  `$ \displaystyle \lim_{x\to 0} \frac{\sqrt{9 + x}- 3}{x } $` "
57485,"Evaluate each limit, if it exists.  `$ \displaystyle \lim_{x\to 1} \frac{x^2 -1}{-x^2-3x + 3} $`"
57486,"Evaluate each limit, if it exists.  `$ \displaystyle \lim_{x\to -2} \frac{x^4 - 16}{x + 2} $`"
57487,"Evaluate each limit, if it exists.  `$ \displaystyle \lim_{x\to 3} \frac{\frac{1}{3} - \frac{1}{x}}{x - 3} $` "
57488,"Evaluate each limit, if it exists.  `$ \displaystyle \lim_{x\to 2}\frac{49 -(5 + x)^2}{x - 2} $`"
57489,"Evaluate each limit, if it exists.  `$ \displaystyle \lim_{x\to 6}\frac{(3- x)^2- 9}{x - 6} $`"
57507,`$\displaystyle \lim_{x\to 2} \frac{6x^3 - 13x^2 + x + 2}{x - 2}$`
57508,`$\displaystyle \lim_{x\to 2} \frac{x^5- 32}{x  -2}$`
57509, `$\displaystyle \lim_{x\to 8} \frac{2- \sqrt[3]{x}}{8 - x}$`
58737,"Determine the real values of `$a, b$`, and `$c$` for the quadratic function `$f(x) = ax^2  +bx + c, a\neq 0$`, that satisfy  the conditions `$\displaystyle f(0) = 0, \lim_{x\to1}f(x) =5$`, and `$\displaystyle \lim_{x\to -2}f(x) = 8.$`"
58738,"Let `$f(x) = mx + b$`, where `$m$` and `$b$` are constants.  If `$\displaystyle \lim_{x\to 1}f(x) = -2$` and `$\displaystyle \lim_{x \to -1}f(x)=4$`, find `$m$` and `$b$`."
58746,"Evaluate each limit.  If the limit dos not exist, explain why.  `$ \displaystyle \lim_{x\to 3^-}(x^2-4) $` "
58747,"Evaluate each limit.  If the limit dos not exist, explain why.  `$ \displaystyle \lim_{x\to 2^-}(x^2 - 4) $` "
58748,"Evaluate each limit.  If the limit dos not exist, explain why.  `$ \displaystyle \lim_{x\to 0^+}x^4 $` "
58749,Find `$\displaystyle \lim_{x\to 2}(x^2 + 1)$`.
58750,Evaluate each limit.  `$ \displaystyle \lim_{x\to -1}(9 -x^2) $` 
58751,"Use the graph to find the limit, if it exits.    `$\displaystyle \lim_{x\to 2}f(x) $`    #32"
58755,Calculate each limit.  `$ \displaystyle \lim_{x\to 3}2^x $`
58756,Calculate each limit.  `$ \displaystyle \lim_{x\to -2}(4 -3x^2) $`
58757,Calculate each limit.  `$ \displaystyle \lim_{x\to 3}(x + 7) $`
58758,Calculate each limit.  `$ \displaystyle \lim_{x\to 10}x^2 $`
58764,Evaluate each limit.  `$ \displaystyle \lim_{x\to 5}\sqrt{x - 1} $` 
58765,Evaluate each limit.  `$ \displaystyle \lim_{x\to 0}\sqrt{\frac{x + 20}{2x + 5}} $` 
58766,Calculate each limit.  `$ \displaystyle \lim_{x\to1}4 $`
58767,"What do you think is the appropriate limit of the sequence?  3, 3.1, 3.14, 3.141, 3.1415, 3.14159, 3.141592, ..."
58768,"What do you think is the appropriate limit of each sequence?  0.7, 0.72, 0.727, 0.7272, ..."
58769,Calculate each limit.  `$ \displaystyle \lim_{x\to -5}x $`
59618,"Evaluate each limit, if it exists.   Show steps for full marks.  `$ \displaystyle \lim_{x\to 4}\frac{\frac{3}{x-7} + \frac{x}{4}}{x- 4}  $`"
59619,"Evaluate each limit, if it exists.   Show steps for full marks.  `$ \displaystyle \lim_{x\to 3}\frac{x^3-2x^2 -9x + 18}{x- 3} $` "
70032,Explain why the given limit does not exist.		  `$\displaystyle \lim_{x\to 2} \displaystyle\frac{x^2-4}{x^2-4x+4}$`
70036,"Evaluate each limit using one of the algebraic methods discussed in this chapter, if the limit exists.		  `$\lim\limits_{x\to 2} \displaystyle\frac{x^2-4}{x^3-8}$`"
70037,"Evaluate the limit, if the limit exists.		  `$\lim\limits_{x\to 0} \displaystyle\frac{\sqrt{x+5}-\sqrt{5-x}}{x}$`"
70038,"Evaluate the limit, if the limit exists.		  `$\lim\limits_{x\to a} \displaystyle\frac{(x+4a)^2-25a^2}{x-a}$`"
70039,"Evaluate the limit, if the limit exists.		  `$\lim\limits_{x\to -4} \displaystyle\frac{x^2+12x+32}{x+4}$`"
70041,Evaluate the limit of each difference quotient. Interpret the limit as the slope of the tangent to a curve at a specific point.		  `$\lim\limits_{h\to 0}\displaystyle\frac{\sqrt{4+h}-2}{h}$`
70042,Evaluate the limit of each difference quotient. Interpret the limit as the slope of the tangent to a curve at a specific point.		  `$\lim\limits_{h\to 0}\displaystyle\frac{(5+h)^2-25}{h}$`
74894,Evaluate   `$ \displaystyle \lim_{x\to 0}\frac{\sqrt{x + 1} - \sqrt{2x +1}}{\sqrt{3x  +4} - \sqrt{2x + 4}} $`
74895,"If `$\displaystyle \lim_{x\to 0}\displaystyle{\frac{f(x)}{x}}  =1$` and `$\displaystyle \lim_{x\to 0} \displaystyle{\frac{g(x)}{x}} = 2$`,  then evaluate each limit.  `$ \displaystyle \lim_{x \to 0} \frac{f(x)}{g(x)} $`"
74896,"If `$\displaystyle \lim_{x\to 0}\displaystyle{\frac{f(x)}{x}}  =1$` and `$\displaystyle \lim_{x\to 0} \displaystyle{\frac{g(x)}{x}} = 2$`,  then evaluate each limit.  `$\displaystyle \lim_{x \to 0} g(x)$`"
74897,"If `$\lim_{x\to 0}\displaystyle{\frac{f(x)}{x}}  =1$` and `$\lim_{x\to 0}g(x)$` exists and is nonzero, then evaluate each limit.  ` $\displaystyle \lim_{x \to 0} \frac{f(x)}{g(x)}$`"
74898,"If `$\lim_{x\to 0}\displaystyle{\frac{f(x)}{x}}  =1$` and `$\lim_{x\to 0}g(x)$` exists and is nonzero, then evaluate each limit.  `$\displaystyle \lim_{x \to 0} f(x)$`"
74899,"If `$\lim_{x\to 4}f(x)  =3$`, use the properties of limits to evaluate each limit.  `$\displaystyle \lim_{x \to 4} \sqrt{3f(x) - 2x}$`"
74900,"If `$\lim_{x\to 4}f(x)  =3$`, use the properties of limits to evaluate each limit.  `$\displaystyle \lim_{x \to 4} \frac{[f(x)]^2-x^2}{f(x) + x}$`"
74901,"If `$\lim_{x\to 4}f(x)  =3$`, use the properties of limits to evaluate each limit.  `$\displaystyle \lim_{x \to 4} [f(x)]^3$`"
74902,"Show, using the properties of limits, that if `$\lim_{x\to 5}f(x)  = 3$`, then `$\lim_{x\to 5}\displaystyle{\frac{x^2- 4}{f(x)}} = 7$`."
74907,"Evaluate the limit, if it exists, using any appropriate technique.  `$\displaystyle \lim_{x \to 1}  [ (\frac{1}{x-1})(\frac{1}{x + 3} - \frac{2}{3x + 5})] $`"
74908,"Evaluate the limit, if it exists, using any appropriate technique.   `$\displaystyle \lim_{h \to 0} \frac{(x + h)^2 -x^2}{h}$`"
74909,"Evaluate the limit, if it exists, using any appropriate technique.  `$\displaystyle \lim_{x \to 0} \frac{\sqrt{x+ 1} - 1}{x}$`"
