id,question
150094,Find each value. Write angle measures in degrees and radians.  `$\displaystyle \operatorname{Tan}^{-1} \sqrt{3} $`  
150080,Find each value. Write angle measures in degrees and radians.  `$\displaystyle \operatorname{Sin}^{-1} \frac{1}{2} $`  
150081,Find each value. Write angle measures in degrees and radians.  `$\displaystyle \operatorname{Arctan}(-\sqrt{3}) $`  
150082,Find each value. Write angle measures in degrees and radians.  `$\displaystyle \operatorname{Arccos}(-1) $`  
150083,Find each value. Round to the nearest hundredth if necessary.  `$\displaystyle \cos \left(\operatorname{Arcsin} \frac{4}{5}\right) $`  
150084,Find each value. Round to the nearest hundredth if necessary.  `$\displaystyle \tan \left(\operatorname{Cos}^{-1} 1\right) $`  
150085,Find each value. Round to the nearest hundredth if necessary.  `$\displaystyle \sin \left(\sin ^{-1} \frac{\sqrt{3}}{2}\right) $`  
150086,"If `$\displaystyle \operatorname{Sin} \theta=0.422 $`, find `$\displaystyle \theta $`.  `$\displaystyle \begin{array}{llll}\text { A } 25^{\circ} & \text { B } 42^{\circ} & \text { C } 48^{\circ} & \text { D } 65^{\circ}\end{array} $`  "
150087,Solve each equation. Round to the nearest tenth if necessary.  `$\displaystyle \operatorname{Cos} \theta=0.9 $`  
150088,Solve each equation. Round to the nearest tenth if necessary.  `$\displaystyle \sin \theta=-0.46 $`  
150089,Solve each equation. Round to the nearest tenth if necessary.   `$\displaystyle \operatorname{Tan} \theta=2.1 $`  
150090,"A cross section of a superpipe for snowboarders is shown at the right. Write an inverse trigonometric function that can be used to find `$\displaystyle \theta $`, the angle that describes the steepness of the superpipe. Then find the angle to the nearest degree. "
150091,Find each value. Write angle measures in degrees and radians.  `$\displaystyle \operatorname{Arcsin}\left(\frac{\sqrt{3}}{2}\right) $`  
150092,Find each value. Write angle measures in degrees and radians.  `$\displaystyle \operatorname{Arccos}\left(\frac{\sqrt{3}}{2}\right) $`  
150093,Find each value. Write angle measures in degrees and radians.  `$\displaystyle \operatorname{Sin}^{-1}(-1) $`  
150095,Find each value. Write angle measures in degrees and radians.  `$\displaystyle \cos ^{-1}\left(-\frac{\sqrt{3}}{2}\right) $`  
150096,Find each value. Write angle measures in degrees and radians.  `$\displaystyle \operatorname{Arctan}\left(-\frac{\sqrt{3}}{3}\right) $`  
150097,Find each value. Round to the nearest hundredth if necessary.  `$\displaystyle \tan \left(\operatorname{Cos}^{-1} 1\right) $`  
150098,Find each value. Round to the nearest hundredth if necessary.  `$\displaystyle \tan \left[\operatorname{Arcsin}\left(-\frac{1}{2}\right)\right] $`  
150099,Find each value. Round to the nearest hundredth if necessary.  `$\displaystyle \cos \left(\operatorname{Tan}^{-1} \frac{3}{5}\right) $`  
150100,Find each value. Round to the nearest hundredth if necessary.  `$\displaystyle \sin (\operatorname{Arctan} \sqrt{3}) $`   
150101,Find each value. Round to the nearest hundredth if necessary.  `$\displaystyle \cos \left(\sin ^{-1} \frac{4}{9}\right) $` 
150102,Find each value. Round to the nearest hundredth if necessary.  `$\displaystyle \sin \left[\operatorname{Cos}^{-1}\left(-\frac{\sqrt{2}}{2}\right)\right] $`  
150103,Solve each equation. Round to the nearest tenth if necessary.  `$\displaystyle \operatorname{Tan} \theta=3.8 $`  
150104,Solve each equation. Round to the nearest tenth if necessary.  `$\displaystyle \sin \theta=0.9 $`  
150125,Explain how `$\displaystyle \operatorname{Sin}^{-1} 8 $` and `$\displaystyle \operatorname{Cos}^{-1} 8 $` are undefined while Tan `$\displaystyle ^{-1} 8 $` is defined.  
